Type,Block,Trial,ObjectiveValue,Uncertainty,Response,Fishing,Feedback,RT,Zgain,Zloss,run_id,sub_id
1,1,1,4,4,1,0,2,1.093173e+00,5.0,1.0,1,Sub111
1,1,2,-4,2,1,2,3,7.439823e-01,2.0,6.0,1,Sub111
1,1,3,-2,6,1,1,3,1.244448e+00,1.0,3.0,1,Sub111
1,1,4,-4,2,1,0,2,1.081249e+00,2.0,6.0,1,Sub111
1,1,5,3,3,1,0,2,1.116569e+00,5.0,2.0,1,Sub111
1,1,6,-3,5,1,1,3,1.259775e+00,1.0,4.0,1,Sub111
1,1,7,-1,5,1,0,2,1.492619e+00,2.0,3.0,1,Sub111
1,1,8,4,2,1,0,2,6.545905e-01,6.0,2.0,1,Sub111
1,1,9,-2,2,0,998,4,?,3.0,5.0,1,Sub111
1,1,10,-1,5,1,1,3,8.967270e-01,2.0,3.0,1,Sub111
1,1,11,2,8,1,0,2,7.517183e-01,2.0,0.0,1,Sub111
1,1,12,1,1,1,0,1,7.927615e-01,5.0,4.0,1,Sub111
1,1,13,-4,4,1,1,3,1.140981e+00,1.0,5.0,1,Sub111
1,1,14,-4,2,1,2,3,1.028746e+00,2.0,6.0,1,Sub111
1,1,15,4,2,1,0,2,5.747248e-01,6.0,2.0,1,Sub111
1,1,16,4,2,1,0,2,5.140669e-01,6.0,2.0,1,Sub111
1,1,17,4,6,1,0,2,5.285185e-01,4.0,0.0,1,Sub111
1,1,18,2,4,1,0,2,5.758813e-01,4.0,2.0,1,Sub111
1,1,19,-2,4,1,1,3,8.277347e-01,2.0,4.0,1,Sub111
1,1,20,3,7,1,0,1,6.266397e-01,3.0,0.0,1,Sub111
1,4,61,-1,3,1,2,3,1.108878e+00,3.0,4.0,1,Sub111
1,4,62,3,1,1,0,1,5.675992e-01,6.0,3.0,1,Sub111
1,4,63,-1,1,1,1,2,8.514418e-01,4.0,5.0,1,Sub111
1,4,64,4,2,1,0,2,6.862377e-01,6.0,2.0,1,Sub111
1,4,65,3,5,1,0,2,7.342228e-01,4.0,1.0,1,Sub111
1,4,66,-4,4,1,2,3,8.832921e-01,1.0,5.0,1,Sub111
1,4,67,-3,3,1,2,3,5.522536e-01,2.0,5.0,1,Sub111
1,4,68,-3,3,1,2,3,6.577895e-01,2.0,5.0,1,Sub111
1,4,69,1,9,1,1,1,8.726256e-01,1.0,0.0,1,Sub111
1,4,70,1,9,1,1,3,1.282452e+00,1.0,0.0,1,Sub111
1,4,71,4,2,1,0,2,5.437328e-01,6.0,2.0,1,Sub111
1,4,72,-3,5,1,2,3,6.497785e-01,1.0,4.0,1,Sub111
1,4,73,2,6,1,0,2,6.068209e-01,3.0,1.0,1,Sub111
1,4,74,-2,4,1,1,3,7.736612e-01,2.0,4.0,1,Sub111
1,4,75,3,7,1,0,1,6.075869e-01,3.0,0.0,1,Sub111
1,4,76,2,6,1,0,2,7.439440e-01,3.0,1.0,1,Sub111
1,4,77,-4,4,1,2,3,7.157691e-01,1.0,5.0,1,Sub111
1,4,78,2,8,1,1,3,8.061251e-01,2.0,0.0,1,Sub111
1,4,79,-2,6,1,2,3,8.921576e-01,1.0,3.0,1,Sub111
1,4,80,4,4,1,0,1,6.532854e-01,5.0,1.0,1,Sub111
1,2,21,-1,5,1,1,2,0.8200084,2.0,3.0,2,Sub111
1,2,22,-1,5,1,1,3,0.7209986,2.0,3.0,2,Sub111
1,2,23,-3,5,1,2,3,0.8567042,1.0,4.0,2,Sub111
1,2,24,4,2,1,0,2,0.7352378,6.0,2.0,2,Sub111
1,2,25,4,6,1,0,2,0.5454495,4.0,0.0,2,Sub111
1,2,26,1,7,1,1,2,0.8589725,2.0,1.0,2,Sub111
1,2,27,-1,5,1,1,3,0.5727877,2.0,3.0,2,Sub111
1,2,28,4,2,1,0,2,0.6732209,6.0,2.0,2,Sub111
1,2,29,-2,2,1,2,3,0.7298587,3.0,5.0,2,Sub111
1,2,30,3,1,1,0,2,0.6973439,6.0,3.0,2,Sub111
1,2,31,-4,4,1,2,3,0.7472586,1.0,5.0,2,Sub111
1,2,32,3,1,1,0,2,0.6363847,6.0,3.0,2,Sub111
1,2,33,2,8,1,0,2,0.8862383,2.0,0.0,2,Sub111
1,2,34,-3,5,1,2,3,0.6957498,1.0,4.0,2,Sub111
1,2,35,4,4,1,0,2,0.7817202,5.0,1.0,2,Sub111
1,2,36,2,8,1,0,2,0.701479,2.0,0.0,2,Sub111
1,2,37,-4,2,1,2,3,0.5578635,2.0,6.0,2,Sub111
1,2,38,1,3,1,0,1,0.9017777,4.0,3.0,2,Sub111
