Type,Block,Trial,ObjectiveValue,Uncertainty,Response,Fishing,Feedback,RT,Zgain,Zloss,run_id,sub_id,ll,v_gain,v_loss,u,p_fish,p_defer,p_safe,SubjectiveValue
2.0,2.0,21.0,-1.0,5.0,1.0,1.0,3.0,1.166002e+00,2.0,3.0,1.0,Sub111,-0.213685904574934,1.0,-0.9999999999999999,-0.10000000000089976,0.08661103440524755,0.8076020092848768,0.10578695630987565,-0.10000000000089976
2.0,2.0,22.0,-1.0,5.0,1.0,1.0,3.0,6.425244e-01,2.0,3.0,1.0,Sub111,-0.213685904574934,1.0,-0.9999999999999999,-0.10000000000089976,0.08661103440524755,0.8076020092848768,0.10578695630987565,-0.10000000000089976
2.0,2.0,23.0,-3.0,5.0,1.0,2.0,3.0,9.731058e-01,1.0,4.0,1.0,Sub111,-1.000549011949832,1.0,-0.9999999999999999,-0.3000000000007,0.20178570481441827,0.43053676879255554,0.3676775263930262,-0.3000000000007
2.0,2.0,24.0,4.0,2.0,1.0,0.0,2.0,5.448196e-01,6.0,2.0,1.0,Sub111,-0.3711323376861704,1.0,-0.9999999999999999,0.39999999999859975,0.6899526287814013,3.167123755337675e-05,0.3100156999810452,0.39999999999859975
2.0,2.0,25.0,4.0,6.0,1.0,0.0,2.0,4.446824e-01,4.0,0.0,1.0,Sub111,-0.3711323376861704,1.0,-0.9999999999999999,0.39999999999859975,0.6899526287814013,3.167123755337675e-05,0.3100156999810452,0.39999999999859975
2.0,2.0,26.0,1.0,7.0,1.0,0.0,1.0,8.445485e-01,2.0,1.0,1.0,Sub111,-0.7708160092806303,1.0,-0.9999999999999999,0.09999999999890014,0.46263539946103255,0.15859077153690798,0.3787738290020595,0.09999999999890014
2.0,2.0,27.0,-1.0,5.0,1.0,1.0,3.0,8.051663e-01,2.0,3.0,1.0,Sub111,-0.213685904574934,1.0,-0.9999999999999999,-0.10000000000089976,0.08661103440524755,0.8076020092848768,0.10578695630987565,-0.10000000000089976
2.0,2.0,28.0,4.0,2.0,1.0,0.0,2.0,4.607929e-01,6.0,2.0,1.0,Sub111,-0.3711323376861704,1.0,-0.9999999999999999,0.39999999999859975,0.6899526287814013,3.167123755337675e-05,0.3100156999810452,0.39999999999859975
2.0,2.0,29.0,-2.0,2.0,1.0,2.0,3.0,1.167304e+00,3.0,5.0,1.0,Sub111,-1.998182521041368,1.0,-0.9999999999999999,-0.20000000000079982,0.09088298118178693,0.7735355428957125,0.13558147592250058,-0.20000000000079982
2.0,2.0,30.0,3.0,1.0,1.0,0.0,1.0,7.081438e-01,6.0,3.0,1.0,Sub111,-0.4388387576488356,1.0,-0.9999999999999999,0.29999999999870003,0.6447847378544684,0.0013498952343488635,0.35386536691118264,0.29999999999870003
2.0,2.0,31.0,-4.0,4.0,1.0,1.0,3.0,7.538812e-01,1.0,5.0,1.0,Sub111,-2.114839766866272,1.0,-0.9999999999999999,-0.4000000000005998,0.2726201275824908,0.12065262055086717,0.6067272518666421,-0.4000000000005998
2.0,2.0,32.0,3.0,1.0,1.0,0.0,2.0,5.991292e-01,6.0,3.0,1.0,Sub111,-0.4388387576488356,1.0,-0.9999999999999999,0.29999999999870003,0.6447847378544684,0.0013498952343488635,0.35386536691118264,0.29999999999870003
2.0,2.0,33.0,2.0,8.0,1.0,0.0,2.0,8.396787e-01,2.0,0.0,1.0,Sub111,-0.5360274576346118,1.0,-0.9999999999999999,0.19999999999879986,0.585067848790942,0.022749443872678576,0.3921827073363795,0.19999999999879986
2.0,2.0,34.0,-3.0,5.0,1.0,1.0,3.0,8.909227e-01,1.0,4.0,1.0,Sub111,-0.8427225492526962,1.0,-0.9999999999999999,-0.3000000000007,0.20178570481441827,0.43053676879255554,0.3676775263930262,-0.3000000000007
2.0,2.0,35.0,4.0,4.0,1.0,0.0,1.0,6.040076e-01,5.0,1.0,1.0,Sub111,-0.3711323376861704,1.0,-0.9999999999999999,0.39999999999859975,0.6899526287814013,3.167123755337675e-05,0.3100156999810452,0.39999999999859975
2.0,2.0,36.0,2.0,8.0,1.0,0.0,2.0,5.802989e-01,2.0,0.0,1.0,Sub111,-0.5360274576346118,1.0,-0.9999999999999999,0.19999999999879986,0.585067848790942,0.022749443872678576,0.3921827073363795,0.19999999999879986
2.0,2.0,37.0,-4.0,2.0,1.0,2.0,3.0,9.797031e-01,2.0,6.0,1.0,Sub111,-0.4996759268497608,1.0,-0.9999999999999999,-0.4000000000005998,0.2726201275824908,0.12065262055086717,0.6067272518666421,-0.4000000000005998
